review,recomendado,votos_uteis
"Análise geral de Counter-Strike 2

O CS2 é, ao mesmo tempo, um dos shooters mais simples de entender e um dos mais difíceis de dominar. A base continua a mesma do CS clássico: duas equipes, economia, mira precisa e tomada de decisão. Mas o que faz o jogo sobreviver há décadas é a profundidade competitiva.

O que faz o CS2 diferente de outros FPS
1. Mecânica pura importa muito

No CS2:

posicionamento ganha troca
mira consistente vale mais que movimentação exagerada
utilitárias mudam rounds inteiros
erro pequeno costuma ser punido imediatamente

Não existe muita “skill artificial” como habilidades de heróis ou movimentações absurdas. O jogo recompensa:

disciplina
timing
leitura de mapa
consistência

Por isso muita gente considera o CS o FPS mais “honesto” competitivamente.

O maior diferencial do CS2: impacto individual real

Um único jogador pode:

clutchar 1v3
carregar economicamente o time
abrir bombsite sozinho
mudar o ritmo da partida

Isso cria aquela sensação clássica de:

“qualquer round ainda dá pra ganhar”.

Poucos jogos entregam tanta tensão em rounds decisivos quanto CS.


As maiores mudanças do CS:GO → CS2
Smokes dinâmicas

As smokes agora interagem com:

tiros
HE
iluminação

Isso deixou o meta mais agressivo e imprevisível.

Sub-tick system

A Valve tentou reduzir a sensação de delay registrando ações entre ticks tradicionais.

Na prática:

tiros parecem mais responsivos
movimentação dividiu opiniões
jogadores competitivos ainda discutem inconsistências

Foi uma mudança tecnológica grande, mas controversa.

Visual mais limpo e moderno

O jogo ficou:

mais brilhante
mais legível
mais agradável pra assistir

Isso ajudou muito o cenário competitivo e transmissão de campeonatos.

O lado competitivo do jogo

O CS2 continua sendo um dos esports mais fortes do mundo.

O competitivo funciona porque:

é fácil entender assistindo
clutchs são memoráveis
economia cria narrativa
habilidade individual aparece claramente

Mesmo alguém que nunca jogou entende:

headshot
clutch
defuse no último segundo

Isso torna o jogo excelente como esport e conteúdo.

Pontos fortes do CS2
Skill ceiling absurdo

Sempre existe algo pra melhorar:

crosshair placement
prefire
spray
util
rotação
comunicação
leitura econômica

Você sente evolução real com o tempo.

Recompensa inteligência

Muita gente acha que CS é só mira.

Na prática:

informação vale ouro
som decide rounds
fake funciona
tempo é recurso

Jogadores inteligentes conseguem ganhar trocas mesmo com mira inferior.

Comunidade gigantesca

O jogo tem:

workshop maps
treino de aim
surf
kz
retake
Faceit
campeonatos amadores

O ecossistema do CS praticamente virou uma cultura própria.

Problemas atuais do CS2
Cheaters

Ainda é a crítica mais forte da comunidade, especialmente no matchmaking Premier.

Isso afeta:

confiança no ranking
experiência casual
competitividade

Muita gente migra para plataformas terceiras como FACEIT por causa disso.

Matchmaking inconsistente

Problemas comuns:

diferença grande de skill
jogadores tóxicos
abandono
comunicação ruim

O jogo depende bastante de equipe coordenada.

Curva de aprendizado brutal

CS2 pode ser frustrante no começo porque:

você morre rápido
posicionamento importa muito
economia pune erros
veteranos têm enorme vantagem

Mas exatamente isso cria a sensação de progressão forte.

O que torna CS viciante

A combinação de:

risco alto
rounds rápidos
clutchs
progressão mecânica
competitividade

gera aquela sensação de:

“só mais uma partida”.

Poucos jogos conseguem transformar momentos simples em algo tão intenso quanto:

um 1v1 pós-plant
uma eco win
um ace
um round OT decisivo
Veredito geral

Counter-Strike 2 continua sendo:

um dos FPS mais competitivos já feitos
o shooter mais baseado em fundamentos
um jogo extremamente recompensador pra quem gosta de melhorar

Ele não tenta agradar todo mundo — e talvez justamente por isso continue tão forte depois de tantos anos.",True,0
game mt bom e divertido fora os hacks,True,0
"matei todo mundo e morri pra bomba, 10/10. isso mostra que independente de fazer o possivel, nao pude mudar o passado pra impedir o impossivel",True,0
"achei top, jogo simples e facil",True,0
CS and Go,True,0
jogo legal.,True,0
me fez entrar pro bope,True,0
"Esse jogo é uma obre de arte, é terapia, é intercambio cultural... quem joga cs desde o 1.6, condition-zero, cs GO... sabe, simplesmente o melhor!",True,0
muito top,True,0
melhor fps,True,0
"O cs2 free e muito bom , te ajuda a melhorar mira e reflexo , mas assim que voce entra, voce vai querer mais e mais , melhorar , jogar com outras pessoas melhores e logo vai pensar em gastar dinheiro , assim como eu. 
Indico para pais de familia , mulheres, adolescentes e crianças.
",True,0
.,True,0
"varios hacks, coisa fina.",True,0
bom,True,0
baguá de jogo,True,0
se nao tivesse tanto homem chato seria melhor,True,0
show,True,1
"o jogo e otimo, porem tem muito xitado tem muito xitado tem que ver maiis isso 
",True,0
JOGO BOM,True,0
"O jogo ainda tem muitos HACKERS de MIRA E PAREDE. A VALVE precisa mudar esse conceito de denúncias, tinha que ser PAU A PAU, se eu denunciar e estiver errado, minha conta é que cai.",False,0
neymar e gostoso de +,True,0
amo esse game,True,0
"bom eb ruim 
",True,0
"If there's one game that proves simplicity can be profound, it's Counter-Strike.",True,0
bom,True,0
fui banido e gostei do jogo,True,1
top,True,0
"bom de mais
",True,0
valorant sem poder >0<,True,0
Único problema são os hacks,True,0
"jogo bom, mas infestado de cheater",True,0
"top, so tem que melhorar o anti cheat",True,0
Um bom FPS para praticar e jogar modos diferentes. Um ponto muito fraco é a quantidade de cheaters.,True,0
my bom,True,0
xd,True,0
jogo desgraçado. mas é bom,True,0
TOPP,True,0
perfeito,True,0
top,True,1
nao importa quanto tempo passe o feijao nunca abandona sua farinha o jogo e bom.,True,0
legalzinho,True,0
jogo bom de mais,True,0
OK,True,0
Bom,True,0
muito bom,True,1
"tiro e bomba, dahora!",True,0
"Amigo, continua sendo CS.
Voce foi avisado!",False,0
"Cara a cada atualização desse jogo e mais uma vontade que eu tenho de chorar, eu estou na minha segunda conta para ver se eu paro de cair com cheeter, mas não e possível que o jeito para impedir que bots farmem caixas e dar 100 de xp em uma partida casual, o sistema de pontos só funciona ate o 2000 depois ou você cai com um 10 mil ou e hacker que não quer aprender o jogo jogando, repetindo a cada atualização esse jogo me causa mais estresse melhorem por favor estou ficando calvo aos 24 isso não e normal ;-;",False,0
hugo,True,0
Pino muito nao recomendo,True,0
top,True,1
...,True,0
gostei bastante,True,0
muito bom morro sem parar,True,0
esse jogo me fez ter depressão severa jogando com gnte que não sabia smokar janelao,False,0
Jogo péssimo,False,0
" Atualmente: problemas de estabilidade, compatibilidade, rede, ""lootboxes"", menos modos de jogo, compensação de lagging mal feita, tickrate e subticks defeituosos.",False,1
"É simplesmente inacreditável que em 2026 o Counter-Strike ainda force a barra com uma mecânica de 'headshot' tão medíocre para os CTs. Se você gosta de simulação ou o mínimo de lógica física, passe longe.

Dar um tiro na cara de um oponente com uma M4A1-S e ver o cara sair andando porque estava de 'capacete' é um insulto à inteligência do jogador e à engenharia armamentista. Vamos aos fatos que o jogo ignora solenemente:

A Mentira do Capacete: No jogo, o capacete de $1000 parece feito de Vibranium. Na vida real, a munição 5.56x45mm NATO da M4 viaja a quase 900 metros por segundo. Nenhum capacete tático moderno (NIJ III-A) usado por forças especiais segura um tiro direto desse fuzil a curta/média distância. O projétil perfura o Kevlar como se fosse papel.

Energia Cinética vs. Gameplay: Mesmo que o capacete não fosse perfurado, a transferência de energia de um projétil de fuzil no crânio causaria uma quebra instantânea das vértebras cervicais. No CS, o boneco só balança a cabeça e te mata de AK.

O 'Nerf' do Silenciador: A Valve decidiu que, por ter um supressor, a arma deve causar menos dano. Na realidade, um supressor pode até aumentar a velocidade de saída do projétil. A bala não fica 'fofa' só porque a arma faz menos barulho.

Balística de Brinquedo: Enquanto a AK-47 (7.62mm) mata com um tiro, a M4A1-S (que na vida real é devastadora devido à fragmentação do projétil e cavitação no tecido cerebral) parece disparar ervilhas contra um oponente minimamente equipado.

Conclusão: O jogo sacrifica toda a lógica da balística terminal em nome de um 'balanceamento' artificial que beneficia o lado TR. Se você busca um jogo onde um tiro de fuzil na cabeça signifique morte (como deveria ser), procure um simulador de verdade. No CS, a física não existe e a lógica militar foi jogada no lixo.",False,0
Evolução do clássico 1.6. Jogo top.,True,0
"o cs ta uma merda, você começa a jogar e logo no começo ja tem um monte de xiter filhos da puta, ai voce vai la comprqa o prime achando que vai melhorar e só tem os arrombados sem mae xitando, ai a valve vê isso e nao faz porra nenhuma, da uma suspensao de 20 horas mais depois volta a ser a mesma merda que é, sao tudos uns filhos da puta que nao querem trabalhar e deixa o jogo virar essa merdfa que virou graças a uns filhos da puta que nao sabem jogar e vao xitar",False,0
OK,True,0
podre,False,0
CHEIO DE XITIZIN DE MERDA,True,0
game nice,True,0
"mto bom 
",True,0
mt bom,True,0
muito bom,True,0
"amei 100% pessoal mt gentil
",True,0
bom,True,0
muito legal,True,0
muito aura mais tem muito cheater cara q xinga,True,0
bom jogo,True,0
"jogo esta enfestado de chiters e a valve nao da a minima
é uma mafia enorme dentro desse jogo
era um dos meus jogos favoritos, mas esta totalmente jogado aderiva, sem supervisao nenhuma
eles tem o vac, que seria o anti-cheating deles, maas nao funciona ele procura anormalidades no computador nao observa as partidas em-si",False,0
Mió jogo q tem,True,0
eu se smoke janelão,True,0
"pescar meio, morrer, kitar= CS2",True,0
gostei,True,0
bão,True,0
"Melhor FPS de hoje em dia, que pode competir mira com mira, sem frescura!",True,0
BOM,True,0
bom d+,True,0
皆さん、ありがとうございました。,True,0
jogo ruim,False,0
"é tipo fortnite, só que não tem o salve o mundo",True,1
"Tem que melhorar o registro de dano, muitos tiros passam pelos personagens e não contam!",True,0
"Até tem diversão, mas a quantidade de gente jogando com cheats não está escrito. A VAC é ineficiente e a Valve está pouco se importando em corrigir falhas que permitam o uso, afinal, é mais importante o que gastam com skins do que fazer um jogo limpo.",False,0
eu sou horrível em fps mas ainda é divertido,True,0
"O jogo é legal , mesmo que as vezes vc encontre 30 ♥♥♥♥♥♥♥ que xingue sua familia inteira . 10 de 10",True,1
TOP,True,0
é,False,0
E BOM,True,0
sim.,True,0
"JOGO TOXICO, NÃO ENTRE",False,1
.,True,0
"meu sonho e ser banido, seria um livramento para mim, jogo legal, sao os venezuelanos filhos de uma puta que ser burros ate de mais.",False,0
massa,True,0
tirando o xiter e os toxico o jogo e baum,True,1
não recomendo,True,0
Bom jogo :),True,1
"bom
",True,0
"sdfsdffgjhfgrdfgdcvncvgbnhthmsdffvghjvmdfgbhdcrfyhmkvghcvgbhrtywserfgnnmzsedfhdtghjkdrfthxedrftgsxedrftgdvnghjjweryk,ljhklkyuikytuuir",True,0
♥♥♥♥****,True,0
AMOR E ÓDIO POR ESSE JOGO!,True,0
Good Game!,True,0
Jogo muito bom,True,1
jogo muito bueno,True,0
Muito bom,True,0
depois de poucas horas o jogo fica sem graça,False,0
"e bem legal mais dps de um tempo quando voce e ruim voce e apenas molestado pelos seus amigos e oponentes
",True,0
Já pode trocar esses hacks que nao presta...,False,1
acabei de comprar e ja me arrependi,True,0
"muito bom com otima mecanica
",True,0
top,True,0
"legal mas tem pessoas racistas e preconceituosas e xenofobicas
",True,0
"sempre gostei desde o 1.6.. oq eu nao gosto e dos Hacker =( que ainda tem bastante
",True,0
"10/10 para quem gosta de combate de ataque e defesa.

O jogo ocorre principalmente com o cenário de foco competitivo e cooperativo entre os jogadores. Há também os modos mata-mata e corrida armada.

Nunca fui muito fã desses modos, mas isso não limita o cs. Há diversos modos de jogos e servidores da comunidade, onde você pode jogar um jogo totalmente diferente, recomendo modo surf, jailbreake e zombiemod.

De jogo de combate competitivo de atacar e defender bomb de forma realistica, não há jogo melhor que cs.",True,0
jogo bom pra karai joguei cs1.6 joguei csgo desde 2016 tenho 3087 horas jogadas de cs go mas cs 2 ta infestado de hackers,True,1
"Top
",True,1
"muito bom
",True,0
nao gostei mas é legal,True,0
"ULTIMAMENTE ANDA BOM, POREM FALTA ANTI-CHEAT",True,1
I was playing soloQ and got two cheaters in the lobby. I trolled the game because I hate cheaters. I got a cooldown for griefing insta after game,False,0
okk,True,0
"entrei no jogo, puxei um competitivo, morri, e xingaram até a primeira geração da minha familia, recomendo",True,0
Muito top,True,0
mt bom,True,0
"gostei da movimentação, e não gostei da parte de ter muito xiter jogando",True,0
Até que é bom,True,0
"um bom jogo, não atoa tenho 1k de hrs kkkk oq esta matando o game é a quantidade de hacks em servidor... se melhorarem isso o game fica nota 1.000",True,0
"rapaz se voce quer passar raiva e ao mesmo tempo se divertir e subir de patente se tiver o prime, bora que bora kkkkkk",True,0
sdasd,True,0
Muitos hackers.,False,0
ruim,False,0
horivel,True,0
"O jogo está insuportável, cheio de trapaceiros e uma comunidade tóxica. O antcheat simplesmente não funciona, e quando funciona só dá uma suspensão de alguns minutos!",False,0
bonzinho,True,0
"Mano, cs é top, eu sou baiano, mas é foda só tem xitado nessa porra mas recomendo muito e jogo sempre porem até a galinha do mapa é xitada ai fica osso.",True,0
"jogo muito bom, unico defeito muito rack",True,1
"cheio de xiter, um lixo",False,0
"Cara, tirando boludo e hacker o jogo é top.
",True,0
Meu jogo da vida.,True,2
"jogo véi do krai, n compensa",True,0
Jogo da degr@ç@,True,0
é matar ou morrer,True,0
"muito legal, me ensinaram 100000000000000000000 diferentes de me matar",True,0
Honestamente na media!,True,1
"top
",True,0
tirando hackers ta otimo,True,0
bao,True,0
sim,True,0
toppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,True,0
"gostei muito
",True,0
"jogo e bom porem, so tem hack quando voce inicia, modo especial realmente e especial so as lenda comendo parede",True,0
"jogo lixo, os xiter eles nao tiram ai eu ganho banimento de 3 dia por mandar os cara toma no cu KKKKKKKKKKKKKKKKKKKKKKKK
",False,0
"Jogo de eliminar terroristas. aprovado.

",True,0
sdadas,True,0
o maior lixo que existe,False,0
muito bom,True,0
paia dms,False,0
"tesap e odio em forma de jogo
",True,0
MELHOR QUE VALORANT,True,0
"se fosse pra começar a jogar agora sabendo a podridão que é esse jogo não teria começado, mais ja que começei",True,0
"Muito enjoativo, muito cheater, Valve faz alguma coisa pra esse AntiCheat funcionar por favor!!!!!!",True,1
JOGO MUITO BOM,True,0
tem muito xitado e argentinos ruim e irritantes mas é legal de vc não tiver risco de infarto por estresse,True,0
JOGO LIXO !,False,0
,True,0
top,True,0
recomendo esta merda para passar raiva,True,0
"BOSTA DE JOGO SO TEM HACK, CHEAT",False,0
"Recomendo caso não há mais expectativas de melhora de personalidade e de vida, jogão.",True,0
Excelente jogo,True,0
"passando raiva ou não é resenha, mas, com os amigos",True,0
tenha calma ao jogar esse jogo e bom com os xiters.... não tenha calma e xingue eles,True,0
"melhor game de todos
",True,0
legal,True,0
top,True,0
"Prime pago, mesmo assim tem xit!  VALVE faz aluga coisa pfvr....",True,0
resenha garantida,True,0
"top
",True,0
"olha sou ruim mas gostei, recomendo.",True,0
Bom pra krlh,True,0
JOGAR RAQUEADA E UM LUTA SERVIDORES TODOS COM LATECIA HORIVEL,False,0
muito bom. não tem hack,True,0
"bom jogo 
",True,0
"É um jogo incrivel porem é tipo drogas, quando vc vicia não da para parar",True,0
0800,True,0
"muito dahora
",True,0
ruim,False,0
"não sei como alguém pode gostar de um jogo assim, mecânica bizarra e ultrapassada, personagem duro, mira dura. fora q tu atira a bala é vesga, mecânica porca",False,1
Jogo muito bom porém estar acabando com tantos xiters!,True,0
bom,True,0
top,True,0
"Sinceramente eu não sei como tem gente que ainda consegue jogar isso, fiquei anos sem jogar por conta dos hacks que tomaram conta dos servidores, e hoje em 2026 ta pior, que doidera, e o pior é que esses cara nem ban tão tomando... ai você tem que jogar nos servidores privados, faceit ou gc que sinceramente não é nada atrativo pelo menos pra mim, infelizmente depois de longos 20 anos pra mais de cs está aqui meu ultimo contato com o jogo. Farm de gold com skins ta tendo, agora um anti cheat que preste kkkkkkk",False,1
É um dos jogos já feitos,False,0
Melhor fps de todos os tempos!!!!!,True,0
"jogo de viado, a minha raça",False,1
"extremamente dificil para iniciantes. 
a forma que esta hoje esse jogo, acaba ""assustando"" ou desanimando quem estra para iniciar/tentar pois a grande maioria dos players ja tem consideravel experiencia. na época do jogo quake2 fui um dos 3 melhores player do BR, porem faziamos salas particulares para jogar uma modalidade de configuracao chamada rail.cfg que consistia em todos terem uma arma bem forte que um disparo acertado ja eliminava o oponente... obviamente um novato ali no meio nem conseguiria se mexer e, mata mata aqui no CS2 esta sendo exatamente assim.",True,0
gostei,True,0
jogo divertido,True,0
"Para ser um excelente jogo, precisa evoluir seu anti-shet",True,0
"Jogo abandonado, tu não vê nenhum hacker tomando ban, quanto mais tu sobe, mais tu é punido com hacker na tua partida. Jogo pra bagre testar hack a vontade, nunca mudou e nunca vai mudar",False,1
BRABO,True,0
"Esta infestado de cheaters, mas em suma, é um bom jogo, o que estraga é a toxidade, os chorões e o cheaters.",True,0
muito hack,False,2
"jogo horrivel, vc paga 80 reais para justamente n cair com xiter e adivinha? vc cai contra o mesmo xiter 5 vezes e olha que estou tentando pegar as 10 vitorias para pegar o rank, se vc quer jogar o premier e inviavel
e o anti xiter mais porco que eu ja vi 
",False,0
CHEIO DE CHEAT E SOU UM DELES       :),True,0
muito lag nessa desgraça,False,0
Melhor que valorant.,True,0
E,True,0
Hack HACK HACK HACK HACK,False,0
n sei,True,0
muito bala,True,0
só precisa melhorar o anti-cheat,True,0
bomb has planted,True,0
"MUITO BOM
",True,1
muito bom !!,True,1
"Muito divertido, jogabilidade excelente. No entanto, é muito difícil conseguir terminar uma partida inteira, mais difícil ainda é terminar com todos os 10 jogadores, isso acaba deixando o jogo chato.",True,0
San me bangou,True,0
"Melhor jogo de todos, cheio de cheaters, as vezes é so um cara bom, mais a maioria e cheaters, mais e isso ai, da pra trocar tiro e ch1ng4r los hermaos",True,0
até legal,True,0
"É CS né pai, só joga",True,0
"O jogo que não te permite dar TK mas permite cheater kkkkkk
isso é Cs go",False,0
"Olá equipe da Valve,

Gostaria de deixar um feedback sobre o Counter-Strike 2.

Tenho enfrentado muitas partidas com hackers, o que está prejudicando bastante a experiência competitiva. Seria muito importante melhorar o sistema anti-cheat para tornar o jogo mais justo.

Além disso, gostaria de sugerir o retorno de mapas clássicos que muitos jogadores sentem falta, como Aztec, Cobblestone e Canals. Esses mapas eram únicos e traziam muita variedade e nostalgia ao jogo.

Trazer esses mapas de volta, mesmo que em modos casuais ou eventos especiais, deixaria o jogo mais divertido e atrativo para a comunidade.

Obrigado pelo trabalho e pelo suporte contínuo ao jogo.

Atenciosamente,",True,0
"sou muito fa 
",True,0
Desinstalem AGORA!!!,False,0
qrebado,False,0
"jogo muito bom mas com anti-cheat ruim
",True,0
maxa no corola,True,1
"Fui Xingado em 57 idiomas diferentes
Bom de mais 
10/10",True,0
"Muito bom, me ajudou a ter motivos pra odiar o ser humano 👍",True,0
bom jogo,True,0
"O CS2 precisava urgentemente de um sistema anti-cheat mais eficiente, punições mais rápidas e uma filtragem melhor de contas suspeitas. Enquanto isso não melhorar, fica difícil recomendar o jogo para quem busca uma experiência competitiva séria e justa.

Não recomendo no estado atual. O jogo tem potencial, mas a quantidade de cheaters acaba estragando a experiência.",False,0
kappa,False,0
"Muito bom, o que estraga é os xiters :(",True,0
apesar de varios hackers de cs. bom jogo,True,0
"tudo que é de graça, voce paga com sua sanidade. bom, pó baixar

                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                    !!I;                                                                                         
                   ''{]_>+                                                                                       
                   ''+.""+}z                                                                                      
                   ''|  `'""z                                                                                     
                  '''/   '`'c                                                                                    
  '`x1~iil        '''~    '''+."",^',                                                                             
 ^  {0ddttuf(<:+! ...ii!iiI^'> I:""`... ..,,                                                                      
    ,:lii+{]?{;!/(uf+^[""'"":;.^  ~,?//f(-<:'. .`^^'.                                                              
  ,""^```^""""""""^."","";ll,>}tnurl!`   l!I}[|\t)(|\(\?I'.    ..                     i~(+]                             
              ^'`""^'.""^^"""""""",,^   :;';:>i!!!<~]?-]-}{11}?!`'                   :^.i>                             
                         ' '`   .'l:,;:,"",^,;<:,IIII-~!<<~~?[[{{{[<!;;>_>      `''-{                             
                         . .   ''''..'`""`^`ll""`^^""!>I^^,:,:IlI!ll]?!,_?+!!>iI,><""`+:                             
                            . ',;::`.......''''.`,;^^^'`""""^,,"",""""I?n\>+<}->I;+?~I>l!"":`""lr                       
                            ^.'. .'`'''^"",I;;,"".........''...`"",^""!I~:,,>[|C[(QYQxf|;:""  .                       
                                      `''^^`'.......`,;;;^.... .''`!l:""::;fzI_t\\zzzrj\;,]_]  :                  
                                                  ... .....''.... .!I!I>txrv1/)1\)]_+~~I,_i_{|/;[?_>i!i<         
                                                                   I!~\X(v\r+jc\j/(<]<_i!;'"""",,"" !\)\1}?]-<!<!>  
                                                              .....l<v|t-f}XOcc1})_~_~;<;I''"":"".   <<~_-?[1??<>i 
                                                              '....:1u<I<^!f(O-)i!?<^>>>;:         `..'.`'.`,"":ll
                                                              .....l!,Il,![zv(z(i^""!~_+``        ^'            ..
                                                              .....,:lII""l?L'   .^;ll}!        ..`^:;::..      .'
                                                              ^`.'`})+lI""l[x'     ^;IIl         ..'"";Ill,..      
                                                              ""^''^1~!iI<l{fI.    `,:;I             ```I!`'','   
                                                              ;^..""]+!-+ii<:>}--;.'^,,;I             `^^"""".`""    
                                                              ""`..""?_~_i>il/    ....'"":I               ^^^""!""'   
                                                              ,'.'I__!>iii<r     ...'^,;I                ^^^I    
                                                              ,'``><i!>ii<[      ''''`"":;l                `^^,   
                                                              ^```[<!<>>+_)      ''.''^:;I                 ^```. 
                                                             ^`'.""-<l+<~>~|       '.''`,:I!                      
                                                             ,`..]+<!-l>+~)        .'''"",;I                      
                                                             ^..^r?<-~;+-}         '..'`,:I!                     
                                                            `''`:1}?-+<_+t          `^``"";                       
                                                            :,^^l1}[[?}_+1                                       
                                                                ""^`'""~)-]                                        
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
                                                                                                                 
",True,0
JOGO ESTÁ INFESTADO DE XITERS,False,0
É o counters,True,1
"Típico competitivo de ame ou odeie, tu ama as skins e as resenhas, mas odeia os cheaters e o anticheat da valve, tu ama um ou dois mapas e odeia 2 ou 4 e assim vai, o jogo é ótimo, recomendo de mais que jogue com amigos ou sozinho pra fazer novos amigos e a comunidade é bem composta e mista, as vezes tu cai com argentino que passa fome e ta estressadinho e as vezes tu cai com baiano que ta quase dormindo e joga muito pra te carregar, são variáveis divertidas e engraçadas, enfim, recomendo que começe a jogar agora e compra o prime, tu ganha caixinhas bonitinhas que podem ser vendidas e trocadas por outras skins ou então abertas por mais dinheirinhos reais te dando possibilidade de ganhar uma faca de 5.000 dinheirinhos. VALE A PENA!",True,0
top,True,0
Spray and Pray,True,0
"Peter's pecker picked another
Pickle bearing ♥♥♥♥♥ pepper
Peter's pecker picked another
Pickle bearing ♥♥♥♥♥ pepper, why?

Meeting John at Dale's Jr
Winked an eye and point a finger
Meeting John at Dale's Jr
Winked an eye and point a finger, why?

A former cop, undercover
Just got shot, now recovered
A former cop, undercover
Just got shot, now recovered, why?

Fighting crime, with a partner
Lois Lane, Jimmy Carter
Fighting crime, with a partner
Lois Lane, Jimmy Carter

I-E-A-I-A-I-O
I-E-A-I-A-I-O, why?
And we light up the sky

Peter's pecker picked another
Pickle bearing ♥♥♥♥♥ pepper
Peter's pecker picked another
Pickle bearing ♥♥♥♥♥ pepper, why?

Meeting John at Dale's Jr
Winked an eye and point a finger
Meeting John at Dale's Jr
Winked an eye and point a finger, why?

A former cop, undercover
Just got shot, now recovered
A former cop, undercover
Just got shot, now recovered, why?

Fighting crime, with a partner
Lois Lane, Jimmy Carter
Fighting crime, with a partner
Lois Lane, Jimmy Carter

I-E-A-I-A-I-O
I-E-A-I-A-I-O, why?
And we light up the sky

I-E-A-I-A-I-O
I-E-A-I-A-I-O, why?
And we light up the sky

Mine delusions acquainted
Bubbles erotica
Plutonium wedding rings
Icicles stretching
Bicycles, shoestrings
One flag, flaggy, but one
Painting the paintings of the alive

I-E-A-I-A-I-O
I-E-A-I-A-I-O, why?
And we light up the sky

I-E-A-I-A-I-O
I-E-A-I-A-I-O, why?
And we light up the sky",True,0
cs ne desde criança,True,0
"Acho esse jogo revolucionário no quesito entrega de sentimentos, é incrível como não importa quantas coisas boas aconteceram no seu dia, basta apenas cair em uma partida com dois argentinos e pronto, acabou toda a felicidade acumulada durante sua semana toda.",True,2
"topp, só falta diminuir os hacks e voltar alguns mapas antigos.",True,0
"se pelo menos dificultasse mais pro xiters, já estava bom",True,1
melhor fps da hisotira,True,0
"XITADOS, XITADOS, XITADOS",False,0
"gostei
",True,0
w,True,0
bom,True,1
Cs né pai,True,0
bom,True,0
O jogo infelizmente so tem xitado tanto no premier quanto no competitivo quanto no braco direito independente do trust factor tanto nos ranks baixos quanto nos ranks altos,False,0
melhor fps da historia,True,1
bom,True,0
jogo ruim,True,0
"Dica para quem vai baixar ou iniciar o CS agora, Entendam que o jogo esta infestado de HACK então nao se surpreenda em 10 partidas jogadas 8 serão contra ou com HACK, o jogo vive um momento delicado a maioria do pessoal classificação alta e intermediaria são todas HACK, se você quer progredir no game se vc quer aprender a jogar e esta disposto a melhorar e querem, recomendo ir para a GC e FACE IT são plataformas onde vc baixa um anti-cheat próprio e evolui realmente porem não recebe XP no jogo da valve.",True,0
muito xiters,True,0
Nice !,True,0
"Jogo bom, empresa ruim, vcs decidem :)",True,0
"Muito bom
",True,0
mt bom,True,0
VICIANTE!!!!!,True,0
"muito bom!
",True,0
"jogo completamente abandonado, cheio de xiter unica coisa que os cara faz é caixa para tirar dinheiro dos outros.",False,0
"Jogabilidade do CS2 vem evoluindo muito.
O mercado de Skins é algo fantástico.

Falta melhorar ainda o VAC para banir a quantidade de usuários com trapaças em jogos.",True,2
simplesmente um dos melhores fps ainda de pé que vale apena jogar,True,0
ainda tem que descrever kkkkkkkk,True,0
bom,True,0
muito legal,True,0
Muito Bom,True,0
bomb has been planted,True,0
top,True,0
jogo de cuiudo,True,0
jogo lixo ruim,False,0
"OTIMO JOGO
",True,0
