review,sentimento
"Xingaram 3 gerações da minha familia em menos de 1 minuto, bom jogo",POSITIVA
"e bom, so isso mesmo",POSITIVA
não recomendo este jogo,POSITIVA
"jogo é uma merda, jogo pessimo com muito cheater!!! não joguem!!!!!!!!!!!",NEGATIVA
Jogar significa ter muitos problemas mentais,NEGATIVA
daora,NEUTRA
top,NEUTRA
jogo bom,POSITIVA
muito bom otimo fps,POSITIVA
bom,POSITIVA
LEGAL,POSITIVA
LEGAL,POSITIVA
"Simulador de árabe bem divertido pra jogar com os amigos e zuar. As vezes me sinto no Rio De Janeiro de tanto tiroteio que acontece nas partidas, mas os Fdp que fica de hack  merece ficar 10 dias no rj pra ver como é ser hack eles vs o Bope.",POSITIVA
"Jogo esse game desde 2014, em 2026 está impossível de jogar, 4 últimos games tinha cheater no meu time e no time contra.",NEUTRA
ÓTIMO JOGO,POSITIVA
topi,NEUTRA
bom demais,POSITIVA
essa porcaria vive dando b.o. pra entrar nas partidas,NEGATIVA
"CS é um dos melhores FPS, extremamente competitivo, ponto negativo são a quantidade de hackers.",NEGATIVA
"Infelizmente o jogo esta completamento tomado por hackers. Você paga um prime de  75,00 reais para continuar na mesma situação",NEGATIVA
xiter até na casa da mãe deles.,NEUTRA
"pensa num jogo bom... entao, nao é esse.",POSITIVA
homens fortes e armados,NEUTRA
legal dms,POSITIVA
Legal,POSITIVA
Não joguem,NEGATIVA
